2 - List of Successful Candidates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
STATE/UT,CONSTITUENCY,WINNER,SEX,PARTY,SYMBOL
Assam,RATABARI,BIJOY MALAKAR,M,BJP,Lotus
Assam,PATHARKANDI,KRISHNENDU PAUL,M,BJP,Lotus
Assam,KARIMGANJ NORTH,KAMALAKHYA DEY PURKAYASTHA,M,INC,Hand
Assam,KARIMGANJ SOUTH,SIDDEQUE AHMED,M,INC,Hand
Assam,BADARPUR,ABDUL AZIZ,M,AIUDF,Lock and Key
Assam,HAILAKANDI,ZAKIR HUSSAIN LASKAR,M,AIUDF,Lock and Key
Assam,KATLICHERRA,SUZAM UDDIN LASKAR,M,AIUDF,Lock and Key
Assam,ALGAPUR,Nijam Uddin Choudhury,M,AIUDF,Lock and Key
Assam,SILCHAR,DIPAYAN CHAKRABORTY,M,BJP,Lotus
Assam,SONAI,KARIM UDDIN BARBHUIYA,M,AIUDF,Lock and Key
Assam,DHOLAI,PARIMAL SUKLA BAIDYA,M,BJP,Lotus
Assam,UDHARBOND,MIHIR KANTI SHOME,M,BJP,Lotus
Assam,LAKHIPUR,Kaushik Rai,M,BJP,Lotus
Assam,BARKHOLA,MISBAHUL ISLAM LASKAR,M,INC,Hand
Assam,KATIGORA,Khalil Uddin Mazumder,M,INC,Hand
Assam,HAFLONG,NANDITA GORLOSA,F,BJP,Lotus
Assam,BOKAJAN,NUMAL MOMIN,M,BJP,Lotus
Assam,HOWRAGHAT,Darsing Ronghang,M,BJP,Lotus
Assam,DIPHU,Bidya Sing Engleng,M,BJP,Lotus
Assam,BAITHALANGSO,Rupsing Teron,M,BJP,Lotus
Assam,MANKACHAR,MD. AMINUL ISLAM,M,AIUDF,Lock and Key
Assam,SALMARA SOUTH,WAZED ALI CHOUDHURY,M,INC,Hand
Assam,DHUBRI,NAZRUL HOQUE,M,AIUDF,Lock and Key
Assam,GAURIPUR,NIZANUR RAHMAN,M,AIUDF,Lock and Key
Assam,GOLAKGANJ,ABDUS SOBAHAN ALI SARKAR,M,INC,Hand
Assam,BILASIPARA WEST,HAFIZ BASHIR AHMED,M,AIUDF,Lock and Key
Assam,BILASIPARA EAST,SAMSUL HUDA,M,AIUDF,Lock and Key
Assam,GOSSAIGAON,Majendra Narzary,M,BOPF,Nangol
Assam,KOKRAJHAR WEST,RABIRAM NARZARY,M,BOPF,Nangol
Assam,KOKRAJHAR EAST,LAWRENCE ISLARY,M,UPPL,Tractor Chalata Kisan
Assam,SIDLI,JOYANTA BASUMATARY,M,UPPL,Tractor Chalata Kisan
Assam,BONGAIGAON,PHANI BHUSAN CHOUDHURY,M,AGP,Elephant
Assam,BIJNI,AJOY KUMAR RAY,M,BJP,Lotus
Assam,ABHAYAPURI NORTH,ABDUL BATIN KHANDAKAR,M,INC,Hand
Assam,ABHAYAPURI SOUTH,PRADIP SARKAR,M,INC,Hand
Assam,DUDHNAI,JADAB SWARGIARY,M,INC,Hand
Assam,GOALPARA EAST,ABUL KALAM RASHEED ALAM,M,INC,Hand
Assam,GOALPARA WEST,ABDUR RASHID MANDAL,M,INC,Hand
Assam,JALESWAR,Aftab Uddin Mollah,M,INC,Hand
Assam,SORBHOG,MANORANJAN TALUKDAR,M,CPI(M),"Hammer, Sickle and Star"
Assam,BHABANIPUR,PHANIDHAR TALUKDAR,M,AIUDF,Lock and Key
Assam,PATACHARKUCHI,RANJEET KUMAR DASS,M,BJP,Lotus
Assam,BARPETA,ABDUR RAHIM AHMED,M,INC,Hand
Assam,JANIA,Rafiqul Islam,M,AIUDF,Lock and Key
Assam,BAGHBAR,Sherman Ali Ahmed,M,INC,Hand
Assam,SARUKHETRI,JAKIR HUSSAIN SIKDAR,M,INC,Hand
Assam,CHENGA,ASHRAFUL HUSSAIN,M,AIUDF,Lock and Key
Assam,BOKO,NANDITA DAS,F,INC,Hand
Assam,CHAYGAON,REKIBUDDIN AHMED,M,INC,Hand
Assam,PALASBARI,HEMANGA THAKURIA,M,BJP,Lotus
Assam,JALUKBARI,HIMANTA BISWA SARMA,M,BJP,Lotus
Assam,DISPUR,ATUL BORA,M,BJP,Lotus
Assam,GAUHATI EAST,SIDDHARTHA BHATTACHARYA,M,BJP,Lotus
Assam,GAUHATI WEST,RAMENDRA NARAYAN KALITA,M,AGP,Elephant
Assam,HAJO,SRI SUMAN HARIPRIYA,F,BJP,Lotus
Assam,KAMALPUR,Diganta Kalita,M,BJP,Lotus
Assam,RANGIA,Bhabesh Kalita,M,BJP,Lotus
Assam,TAMULPUR,LEHO RAM BORO,M,UPPL,Tractor Chalata Kisan
Assam,NALBARI,JAYANTA MALLA BARUAH,M,BJP,Lotus
Assam,BARKHETRI,DIGANTA BARMAN,M,INC,Hand
Assam,DHARMAPUR,CHANDRA MOHAN PATOWARY,M,BJP,Lotus
Assam,BARAMA,BHUPEN BARO,M,UPPL,Tractor Chalata Kisan
Assam,CHAPAGURI,URKHAO GWRA BRAHMA,M,UPPL,Tractor Chalata Kisan
Assam,PANERY,BISWAJIT DAIMARY,M,BJP,Lotus
Assam,KALAIGAON,DURGA DAS BORO,M,BOPF,Nangol
Assam,SIPAJHAR,PARAMANANDA RAJBONGSHI,M,BJP,Lotus
Assam,MANGALDOI,BASANTA DAS,M,INC,Hand
Assam,DALGAON,MAZIBUR RAHMAN,M,AIUDF,Lock and Key
Assam,UDALGURI,GOBINDA CHANDRA BASUMATARI,M,UPPL,Tractor Chalata Kisan
Assam,MAJBAT,CHARAN BORO,M,BOPF,Nangol
Assam,DHEKIAJULI,ASHOK SINGHAL,M,BJP,Lotus
Assam,BARCHALLA,GANESH KUMAR LIMBU,M,BJP,Lotus
Assam,TEZPUR,PRITHIRAJ RAVA,M,AGP,Elephant
Assam,RANGAPARA,KRISHNA KAMAL TANTI,M,BJP,Lotus
Assam,SOOTEA,PADMA HAZARIKA,M,BJP,Lotus
Assam,BISWANATH,PROMOD BORTHAKUR,M,BJP,Lotus
Assam,BEHALI,RANJIT DUTTA,M,BJP,Lotus
Assam,GOHPUR,SRI UTPAL BORAH,M,BJP,Lotus
Assam,JAGIROAD,PIJUSH HAZARIKA,M,BJP,Lotus
Assam,MARIGAON,RAMA KANTA DEWRI,M,BJP,Lotus
Assam,LAHARIGHAT,DR. ASIF MOHAMMAD NAZAR,M,INC,Hand
Assam,RAHA,SASHI KANTA DAS,M,INC,Hand
Assam,DHING,Aminul Islam,M,AIUDF,Lock and Key
Assam,BATADROBA,Sibamoni Bora,F,INC,Hand
Assam,RUPOHIHAT,NURUL HUDA,M,INC,Hand
Assam,NOWGONG,RUPAK SARMAH,M,BJP,Lotus
Assam,BARHAMPUR,JITU GOSWAMI,M,BJP,Lotus
Assam,SAMAGURI,RAKIBUL HUSSAIN,M,INC,Hand
Assam,KALIABOR,Keshab Mahanta,M,AGP,Elephant
Assam,JAMUNAMUKH,Siraj Uddin Ajmal,M,AIUDF,Lock and Key
Assam,HOJAI,Ramkrishna Ghosh,M,BJP,Lotus
Assam,LUMDING,Sibu Misra,M,BJP,Lotus
Assam,BOKAKHAT,ATUL BORA,M,AGP,Elephant
Assam,SARUPATHAR,BISWAJIT PHUKAN,M,BJP,Lotus
Assam,GOLAGHAT,Ajanta Neog,F,BJP,Lotus
Assam,KHUMTAI,Mrinal Saikia,M,BJP,Lotus
Assam,DERGAON,BHABENDRA NATH BHARALI,M,AGP,Elephant
Assam,JORHAT,HITENDRA NATH GOSWAMI,M,BJP,Lotus
Assam,MAJULI,SARBANANDA SONOWAL,M,BJP,Lotus
Assam,TITABAR,Bhaskar Jyoti Baruah,M,INC,Hand
Assam,MARIANI,Rupjyoti Kurmi,M,INC,Hand
Assam,TEOK,RENUPOMA RAJKHOWA,F,AGP,Elephant
Assam,AMGURI,PRODIP HAZARIKA,M,AGP,Elephant
Assam,NAZIRA,Debabrata Saikia,M,INC,Hand
Assam,MAHMARA,JOGEN MOHAN,M,BJP,Lotus
Assam,SONARI,DHARMESWAR KONWAR,M,BJP,Lotus
Assam,THOWRA,SUSHANTA BORGOHAIN,M,INC,Hand
Assam,SIBSAGAR,AKHIL GOGOI,M,IND,Gas Cylinder
Assam,BIHPURIA,DR. AMIYA KUMAR BHUYAN,M,BJP,Lotus
Assam,NAOBOICHA,BHARAT CHANDRA NARAH,M,INC,Hand
Assam,LAKHIMPUR,MANAB DEKA,M,BJP,Lotus
Assam,DHAKUAKHANA,NABA KUMAR DOLEY,M,BJP,Lotus
Assam,DHEMAJI,Ranoj Pegu,M,BJP,Lotus
Assam,JONAI,BHUBAN PEGU,M,BJP,Lotus
Assam,MORAN,CHAKRADHAR GOGOI,M,BJP,Lotus
Assam,DIBRUGARH,PRASANTA PHUKAN,M,BJP,Lotus
Assam,LAHOWAL,BINOD HAZARIKA,M,BJP,Lotus
Assam,DULIAJAN,TERASH GOWALA,M,BJP,Lotus
Assam,TINGKHONG,Bimal Borah,M,BJP,Lotus
Assam,NAHARKATIA,TARANGA GOGOI,M,BJP,Lotus
Assam,CHABUA,PONAKAN BARUAH,M,AGP,Elephant
Assam,TINSUKIA,SANJOY KISHAN,M,BJP,Lotus
Assam,DIGBOI,SUREN PHUKAN,M,BJP,Lotus
Assam,MARGHERITA,BHASKAR SHARMA,M,BJP,Lotus
Assam,DOOM DOOMA,RUPESH GOWALA,M,BJP,Lotus
Assam,SADIYA,BOLIN CHETIA,M,BJP,Lotus
,,,,,
,,,,,
,,,,,
,,,,,
,,PARTY WISE SUMMARY,,,
,,Assam,,,
,,PARTY NAME,,SEATS,
,,All India United Democratic Front,,16,
,,Asom Gana Parishad,,9,
,,Bharatiya Janata Party,,60,
,,Bodoland Peoples Front,,4,
,,Communist Party of India (Marxist),,1,
,,Independent,,1,
,,Indian National Congress,,29,
,,"United People’s Party, Liberal",,6,
,,,,,
Disclaimer,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,
