9 - Candidate Data Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
TYPE OF CONSTITUENCY,,,,
,GEN,SC,ST,TOTAL
1. NO. OF CONSTITUENCIES,102,8,16,126
2. NOMINATIONS FILED,,,,
a. Male,849,49,102,1000
b. Female,68,4,13,85
c. Third Gender,0,0,0,0
d. Total,917,53,115,1085
3. NOMINATIONS REJECTED,,,,
a. Male,35,6,9,50
b. Female,4,0,3,7
c. Third Gender,0,0,0,0
d. Total,39,6,12,57
4. NOMINATIONS WITHDRAWN,,,,
a. Male,65,6,8,79
b. Female,2,0,0,2
c. Third Gender,0,0,0,0
d. Total,67,6,8,81
5. CONTESTING CANDIDATES,,,,
a. Male,748,37,85,870
b. Female,62,4,10,76
c. Third Gender,0,0,0,0
d. Total,810,41,95,946
6. FORFEITED DEPOSITS,,,,
a. Male,549,22,52,623
b. Female,46,3,8,57
c. Third Gender,0,0,0,0
d. Total,595,25,60,680
,,,,
Disclaimer,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,
