Electors Data Summary Annxure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,TYPE OF CONSTITUENCY,,,
,GEN,SC,ST,TOTAL
1. NO. OF CONSTITUENCIES,102,8,16,126
2. POSTAL VOTES,,,,
"a. Postal Votes(For Service Voters
Under sub-Section(8) of Section 20 of
R.P. Act,1950)",26359,2749,4445,33553
,,,,
"b. Postal Votes(For Govt. Servants
on election duty(including all Police
Pesonnel, drivers, conductors,
cleaners) and Absentee Voters.",86612,7289,16856,110757
TOTAL POSTAL VOTES,112971,10038,21301,144310
,,,,
Disclaimer,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,
