Performance Of Political Parties,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Party Type,Party Name,Contested,Won,Forfitted,Votes,Total Valid Votes,Votes in %,Total Valid Votes in Seat Contested, VOTE % IN SEATS CONTESTED
N,Bharatiya Janata Party,89,60,9,4992185,16919364,29.505748561234334,11871549,42.051673290486356
N,Communist Party of India,15,0,15,37243,16919364,0.22012056717971196,1780794,2.09137047856181
N,Communist Party of India  (Marxist),19,0,18,93508,16919364,0.5526685282023603,2767135,3.379235201751993
N,Indian National Congress,122,26,13,5238655,16919364,30.96248180487163,16368528,32.00443558516685
N,Nationalist Congress Party,12,0,11,44848,16919364,0.2650690652438236,1625405,2.7591892482181364
O,All India Forward Bloc,1,0,1,699,16919364,0.004131360966050497,96014,0.7280188305872061
O,All India Trinamool Congress,13,0,13,27739,16919364,0.16394824297178073,2087670,1.3287061652464232
O,Indian Union Muslim League,1,0,1,250,16919364,0.0014775969120352278,137513,0.18180099336062772
O,Janata Dal  (United),4,0,4,12538,16919364,0.07410444033239075,520946,2.4067753663527505
O,Lok Jan Shakti Party,9,0,9,8187,16919364,0.04838834367532964,1377873,0.5941766766603308
O,National People's Party,4,0,4,9303,16919364,0.0549843362906549,549795,1.6920852317682045
O,Shivsena,3,0,3,1690,16919364,0.00998855512535814,436481,0.3871875293540841
O,Samajwadi Party,15,0,15,7602,16919364,0.04493076690116721,2123882,0.35792948949141246
S,Asom Gana Parishad,30,14,8,1377482,16919364,8.14145259833644,4134404,33.31754709989638
S,All India United Democratic Front,74,13,32,2207945,16919364,13.049810855774485,10363691,21.304620139678036
S,Bodoland Peoples Front,13,12,0,666057,16919364,3.936655065757791,1702516,39.121923083248554
U,Akhil Bharat Hindu Mahasabha,1,0,1,491,16919364,0.0029020003352371875,140655,0.34908108492410506
U,New All India Congress Party,2,0,2,960,16919364,0.005673972142215275,269080,0.3567712204548833
U,Bharatiya Gana Parishad,10,0,9,33220,16919364,0.1963430776712411,1559767,2.1298052850201343
U,Bhartiya Rashtrawadi Party,5,0,5,3546,16919364,0.02095823460030767,860268,0.4121971292666936
U,Bharat Vikas Morcha,5,0,5,4701,16919364,0.027784732333910427,575711,0.816555528728824
U,Communist Party of India  (Marxist-Leninist)  (Liberation),7,0,7,15909,16919364,0.09402835709427375,792942,2.006325809453907
U,Forward Democratic Labour Party,1,0,1,607,16919364,0.003587605302421533,135790,0.44701377126445246
U,Janata Congress Party of Bharat Varsha,1,0,1,1022,16919364,0.006040416176400011,127374,0.8023615494527925
U,Jharkhand Disom Party,2,0,2,2386,16919364,0.014102184928464214,223862,1.0658352020441164
U,Jai Maha Bharath Party,6,0,6,3571,16919364,0.021105994291511193,881293,0.4052000866908054
U,Jan Congress Party,17,0,17,15072,16919364,0.08908136263277981,2232338,0.6751665742374138
U,Liberal Democratic Party,14,0,14,11888,16919364,0.07026268836109915,2064211,0.5759101177156792
U,Rashtriya Jankranti Party,11,0,11,5071,16919364,0.02997157576372256,1693579,0.2994250637259909
U,Revolutionary Communist Party of India  (Rasik Bhatt),2,0,2,1185,16919364,0.00700380936304698,276487,0.42859157935092784
U,Republican Party of India,3,0,3,1760,16919364,0.010402282260728004,446018,0.39460290840279993
U,Republican Party of India (A),17,0,17,10874,16919364,0.06426955528588427,2682727,0.40533382636399456
U,Rashtriya Pragati Party,3,0,3,961,16919364,0.005679882529863415,495999,0.19375039062578756
U,Rashtriya Secular Congress,7,0,7,3663,16919364,0.021649749955140157,984672,0.3720020473822755
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),25,0,25,16082,16919364,0.09505085415740214,3433975,0.4683202411199848
U,The National Road Map Party of India,5,0,5,3848,16919364,0.022743171670046226,854540,0.4503007466005102
Z,Independent,496,1,473,1867531,16919364,11.037832154920244,16220775,11.51320451704681
Z1,None of the Above,126,0,126,189085,16919364,1.1175656484487242,16919364,1.1175656484487242
