3 - List Of Political Parties Participated,Unnamed: 1,Unnamed: 2
PARTY TYPE,ABBREVIATION,PARTY
NATIONAL PARTIES,,
1,AITC,All India Trinamool Congress
2,BJP,Bharatiya Janata Party
3,CPI,Communist Party of India
4,CPI(M),Communist Party of India (Marxist)
5,INC,Indian National Congress
6,NCP,Nationalist Congress Party
7,NPEP,National People's Party
STATE PARTIES,,
8,AGP,Asom Gana Parishad
9,AIUDF,All India United Democratic Front
10,BOPF,Bodoland Peoples Front
STATE PARTIES - OTHER STATES,,
11,AIFB,All India Forward Bloc
12,BLSP,Rashtriya Lok Samta Party
13,CPI(ML)(L),Communist Party of India (Marxist-Leninist) (Liberation)
14,JD(U),Janata Dal (United)
15,LJP,Lok Jan Shakti Party
16,RJD,Rashtriya Janata Dal
17,SP,Samajwadi Party
REGISTERED(Unrecognised) PARTIES,,
18,AIMF,All India Minorities Front
19,AJM,Asom Jana Morcha
20,ASDC,Autonomous State Demand Committee
21,ASM,Asom Songrami Mancha(Asom)
22,ASMJTYP,Assam Jatiya Parishad
23,BAHUMP,Bahujan Maha Party
24,BGanP,Bharatiya Gana Parishad
25,BhaRP,Bhartiya Rashtrawadi Party
26,BTP,Bhartiya Tribal Party
27,HND,Hindusthan Nirman Dal
28,JP,Janata Party
29,LRAP,Lok Raksha Party
30,NRCong,National Republican Congress
31,PLTIJSTP,Political Justice Party
32,RCPI(R),Revolutionary Communist Party of India (Rasik Bhatt)
33,RPI,Republican Party of India
34,RPI(A),Republican Party of India (A)
35,RPPRINAT,Republican Party of India (Athawale)
36,RUC,Rashtriya Ulama Council
37,SUCI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
38,SwaBP,Swarna Bharat Party
39,TNRMPI,The National Road Map Party of India
40,UPPL,"United People’s Party, Liberal"
41,VPI,Voters Party International
INDEPENDENTS,,
42,IND,Independent
43,NOTA,None of the Above
,,
Disclaimer,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,
