6 - Electors Data Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,TYPE OF CONSTITUENCY,,,
,,GEN,SC,ST,TOTAL
1,NO. OF CONSTITUENCIES,102,8,16,126
2,ELECTORS(Including SERVICE VOTERS),,,,
a.,MALE,9502323,859050,1523504,11884877
b.,FEMALE,9230549,824584,1496457,11551590
c.,THIRD GENDER,334,39,24,397
d.,TOTAL,18733206,1683673,3019985,23436864
3,ELECTORS WHO VOTED,,,,
a.,MALE,7788596,706290,1203190,9698076
b.,FEMALE,7584296,682632,1206498,9473426
c.,THIRD GENDER,30,1,3,34
d.,POSTAL(Details given in Annxure-1),112971,10038,21301,144310
e.,TEST VOTES,0,0,0,0
f.,TOTAL,15485893,1398961,2430992,19315846
,PROXY (already included in 3.a/3.b),0,0,0,0
4,OVERSEAS ELECTORS,,,,
a.,MALE,9,1,0,10
b.,FEMALE,0,1,0,1
c.,THIRD GENDER,0,0,0,0
d.,TOTAL,9,2,0,11
5,OVERSEAS ELECTORS WHO VOTED,,,,
a.,MALE,1,0,0,1
b.,FEMALE,0,0,0,0
c.,THIRD GENDER,0,0,0,0
d.,TOTAL,1,0,0,1
6,REJECTED VOTES,,,,
a.,VOTES(POSTAL),21306,2647,4070,28023
b.,"PERCENTAGE(to Postal
Votes)",18.86,26.37,19.11,19.42
,,,,,
c.,"VOTES REJECTED FROM
EVM(TEST VOTES+REJECTED DUE TO OTHER
REASON)",51847,4470,8906,65223
7,NOTA VOTES(POSTAL + EVM),174197,15258,30123,219578
8,"VALID VOTES(EXCLUDING NOTA VOTES)
3.f-(6.a+6.c+7)",15238543,1376586,2387893,19003022
9,POLL PERCENTAGE,82.67,83.09,80.5,82.42
10,NO. OF POLLING STATIONS,26647,2393,4490,33530
11,"AVERAGE NO. OF
ELECTORS PER POLLING
STATION(including Service
Electors)",703,704,673,699
,,,,,
Disclaimer,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,
